Issue Type,Epic,Summary,Description,Acceptance Criteria,Priority
Story,EPIC-ONB,Resident OTP signup/login,"Resident can request OTP via phone/email and verify it to create/login to account.","Given a valid phone/email, when OTP is requested, then OTP is issued and rate-limited; Given correct OTP, when verified, then resident receives access token and must complete address before using schedule/payments.",Must
Story,EPIC-ONB,Resident address verification (Nigeria format),"Capture address as State->LGA->Street->House No->Landmark; no postcode.","Given a resident without address, when they attempt schedule/home, then they are redirected to address verification; Address fields required: State,LGA,Street,HouseNo; Landmark optional.",Must
Story,EPIC-SCH,Monthly address-based calendar,"Render a monthly calendar for the resident's address showing bin type per day.","Given an address in LGA, when viewing month, then calendar lists scheduled bin types for that LGA; Bin types include General, Recycling, Garden, Food.",Must
Story,EPIC-SCH,Holiday adjustment shifts entire week,"Admin marks a public holiday; schedule for that week shifts by +1 day.","Given a holiday date for an LGA week, when generating calendar for that week, then all bin collections for that week move forward by 1 day and resident is shown a notice.",Must
Story,EPIC-SCH,Real-time pickup status per address,"Resident sees picked/missed/reported with timestamp for today, plus next pickup.","Given today's date, when collection is marked picked at time T, then resident home shows 'Picked up at T' without refresh; Next pickup date is computed from schedule.",Must
Story,EPIC-BIL,Monthly invoice generation on 1st,"System generates invoices on the 1st of each month per address.","Given date is 1st, when job runs, then invoice is created with monthly fee + subscriptions; invoice status starts UNPAID.",Must
Story,EPIC-BIL,Payment reconciliation updates owing status,"When payment completes, unpaid dashboards and resident owing status update in real-time.","Given a completed payment matching an invoice, when processed, then invoice becomes PAID and outstanding amount is 0; dashboards update without manual refresh.",Must
Story,EPIC-GOV,Finance unpaid dashboard (real-time),"Finance officer can filter by LGA and see unpaid addresses with amounts and overdue days.","Given a selected LGA and month, when viewing dashboard, then list includes address, amount owing, days overdue, and payment history; updates stream in real-time.",Must
Story,EPIC-OPS,Fleet vehicle management,"Fleet manager can CRUD vehicles and set status Active/Maintenance/OOS.","Given a fleet manager role, when creating/updating vehicle, then validation enforces unique license plate; vehicle appears in list with status.",Must
Story,EPIC-OPS,Daily route assignments,"Route supervisor assigns staff and vehicles to a route for a day.","Given a route supervisor, when assigning driver/loaders/vehicle to route-date, then assignment is saved and available to driver app view.",Must
Story,EPIC-ISS,Issue reporting with photo,"Resident reports missed bin with photo upload and description; admin gets it instantly.","Given a resident, when submitting issue with optional photo, then issue is created with audit trail and assigned supervisor notified; photo is stored and retrievable securely.",Must
Story,EPIC-ISS,In-app messaging per issue,"Resident and assigned staff can exchange messages inside an issue.","Given an open issue, when either party sends a message, then message is stored with timestamp and visible to both; audit trail preserved.",Must
Story,EPIC-NOT,Collection reminders (T-24h and day-of),"System sends push/SMS/email reminders about next collection for address.","Given next pickup exists, when T-24h window is reached, then reminder is queued; On collection day morning, then day-of reminder is queued; delivery results logged.",Must

